name,salary_from,salary_to,salary_currency,area_name,published_at
Механик по планированию,150000,,RUR,Якутск,2022-12-21T09:27:19+0300
Специалист по автоматизации / IT-специалист,43000,72000,RUR,Братск,2022-12-21T05:20:25+0300
"Судовой механик на круизный теплоход ""Империя"", оз. Байкал",60000,,RUR,Иркутск,2022-12-21T05:28:47+0300
Помощник системного администратора,20000,25000,RUR,Оренбург,2022-12-21T09:55:41+0300
Механик ДСТ,130000,150000,RUR,Томск,2022-12-21T06:48:43+0300
Слесарь-сборщик РЭА и приборов,27000,,RUR,Омск,2022-12-21T06:28:53+0300
Оператор станков с программным управлением,75000,,RUR,Кемерово,2022-12-21T05:18:22+0300
Оператор станка с ЧПУ (деревообработка),80000,,RUR,Ногинск,2022-12-21T09:09:46+0300
Ведущий менеджер проектов,400000,400000,KZT,Алматы,2022-12-21T08:50:07+0300
Программист 1С,100000,,RUR,Новокузнецк,2022-12-21T08:28:05+0300
Оператор станков с ЧПУ (фрезерная группа),50000,,RUR,Тула,2022-12-21T08:43:42+0300
Рабочий на производство,35000,,RUR,Саратов,2022-12-21T07:33:49+0300
Оператор станков с ПУ,70000,,RUR,Санкт-Петербург,2022-12-21T09:38:30+0300
Руководитель проекта (заместитель директора),120000,,RUR,Томск,2022-12-21T09:57:01+0300
Оператор станка лазерной резки\Оператор ЧПУ,69000,92000,RUR,Ростов-на-Дону,2022-12-21T09:10:50+0300
Специалист технической поддержки,35000,40000,RUR,Ижевск,2022-12-21T09:01:07+0300
Рабочий на производство ППУ (поролона),30000,35000,RUR,Челябинск,2022-12-21T06:45:52+0300
Проектный менеджер/Project Manager,350000,,KZT,Караганда,2022-12-21T08:30:11+0300
Корреспондент,50000,,RUR,Санкт-Петербург,2022-12-21T08:32:57+0300
Монтажник РЭА печатных плат,50000,,RUR,Ульяновск,2022-12-21T09:55:16+0300
Проектный менеджер,80000,120000,RUR,Владивосток,2022-12-21T03:19:25+0300
Программист 1С,70000,120000,RUR,Казань,2022-12-21T01:27:29+0300
Инженер связи,80000,125000,RUR,Екатеринбург,2022-12-21T06:10:09+0300
Механик,40000,,RUR,Иваново (Ивановская область),2022-12-21T09:23:17+0300
Механик холодильного оборудования(с обучением),50000,,RUR,Новокузнецк,2022-12-21T07:28:07+0300
Системный администратор,35000,43000,RUR,Кемерово,2022-12-21T05:55:36+0300
Моушен-дизайнер/CG-artist,25000,100000,RUR,Челябинск,2022-12-21T07:14:55+0300
Специалист по описанию бизнес-процессов,60000,70000,RUR,Екатеринбург,2022-12-21T07:12:47+0300
IT-менеджер,30000,,RUR,Бугульма,2022-12-21T08:44:49+0300
C# Backend-разработчик,45000,,RUR,Пермь,2022-12-21T07:10:13+0300
